,objectid,name,alias,gis_acres,park_type,location,owner,source_id,source,source_dt,src_notes
2668,2669,Knollwood Preserve,Knollwood County Preserve,20.68746435,Open Space,"29645 Platanus Drive, Escondido, CA 92026",County DPR,DPR-PRK-100056,County of San Diego,621,Open Space Preserve
2669,2670,Lake Morena Park,Lake Morena County Park,3183.936251,Regional,"2550 Lake Morena Drive, Campo, CA 91906",County DPR,DPR-PRK-100057,County of San Diego,621,Regional Park
2670,2671,Lakeside Sports Park,Lakeside Sports Park,15.74212818,Local,"10030 Marathon Parkway, Lakeside, CA 92040",County DPR,DPR-PRK-100058,County of San Diego,621,Sports Park
2671,2672,Lamar Park,Lamar County Park,8.78756004,Local,"3180 Bancroft Drive, Spring Valley, CA 91977",County DPR,DPR-PRK-100060,County of San Diego,621,Local Park
2672,2673,Daley Preserve,Lawrence and Barbara Daley County Preserve,580.78601461,Open Space,"17100 Campo Road, Dulzura, CA 91917",County DPR,DPR-PRK-100061,County of San Diego,621,Open Space Preserve
2673,2674,Lincoln Acres Park,Lincoln Acres County Park,1.66342794,Local,"2717 Granger Ave., National City, CA 91950",County DPR,DPR-PRK-100062,County of San Diego,621,Local Park
2674,2675,Lindo Lake Park,Lindo Lake County Park,54.56517415,Local,"12660 Lindo Lane, Lakeside, CA 92040",County DPR,DPR-PRK-100063,County of San Diego,621,Local Park
2675,2676,Live Oak Park,Live Oak County Park,26.99642031,Local,"2746 Reche Road, Fallbrook, CA 92028",County DPR,DPR-PRK-100064,County of San Diego,621,Local Park
2676,2677,Lonny Brewer Park,Lonny Brewer County Park,5.21772828,Local,"10925 Fury Lane, El Cajon, CA 92019",County DPR,DPR-PRK-100065,County of San Diego,621,Local Park
2677,2678,Los Coches Historical Marker,Los Coches Historical Marker,0.00340448,Historic,UNK,County DPR,DPR-PRK-100066,County of San Diego,621,Historic Site
2678,2679,Lusardi Creek Preserve,Lusardi Creek County Preserve,225.96097192,Open Space,"16500 Rio Vista Road, San Diego, CA 92127",County DPR,DPR-PRK-100067,County of San Diego,621,Open Space Preserve
2679,2680,Magdalena Ecke Preserve,Magdalena Ecke County Preserve,29.79319772,Open Space,"2710 Manchester Ave. Cardiff, CA 92007",County DPR,DPR-PRK-100068,County of San Diego,621,Open Space Preserve
2680,2681,Mason Preserve,Mason County Preserve,368.02546411,Open Space,"1190 Harris Ranch Road, Potrero, CA 91963",County DPR,DPR-PRK-100069,County of San Diego,621,Open Space Preserve
2681,2682,Mexican Canyon Preserve,Mexican Canyon County Preserve,0.24289992,Open Space,"14270 Mexican Canyon Road, Jamul CA 91935",County DPR,DPR-PRK-100070,County of San Diego,621,Open Space Preserve
2682,2683,Mt. Olympus Preserve,Mt. Olympus County Preserve,800.98467119,Open Space,"7000 Mount Olympus Valley Road, Fallbrook CA 92028",County DPR,DPR-PRK-100071,County of San Diego,621,Open Space Preserve
2683,2684,Mountain Springs Park,Mountain Springs County Park,132.84227351,Open Space,UNK,County DPR,DPR-PRK-100072,County of San Diego,621,Open Space Preserve
2684,2685,Nancy Jane Park,Nancy Jane County Park,1.88257159,Local,"120 N. Park Drive, El Cajon, CA 92021",County DPR,DPR-PRK-100074,County of San Diego,621,Local Park
2685,2686,Old Ironsides Park,Old Ironsides County Park,3.36653375,Local,"326 Harbison Canyon Road, El Cajon, CA 92020",County DPR,DPR-PRK-100076,County of San Diego,621,Local Park
2686,2687,Old Springs Preserve,Old Springs County Preserve,307.62798813,Open Space,"2465 Old Springs Road, Borrego Springs, CA 92004",County DPR,DPR-PRK-100077,County of San Diego,621,Open Space Preserve
2687,2688,Furby North Preserve,Furby North County Preserve,78.52697241,Open Space,"4500 Otay Mesa Road, San Diego, CA 92154",County DPR,DPR-PRK-100079,County of San Diego,621,Open Space Preserve
2688,2689,Pala Mesa Preserve,Pala Mesa County Preserve,17.19045662,Open Space,"220 Rice Canyon Road, Fallbrook, CA 92028",County DPR,DPR-PRK-100080,County of San Diego,621,Open Space Preserve
2689,2690,Palomar Mountain Park,Palomar Mountain County Park,3.446078,Local,"21818 Crestline Road, Palomar Mountain, CA 92060",County DPR,DPR-PRK-100081,County of San Diego,621,Local Park
2690,2691,Potrero Park,Potrero County Park,138.05964926,Regional,"24800 Potrero Park Drive, Potrero, CA 91963",County DPR,DPR-PRK-100082,County of San Diego,621,Regional Park
2691,2692,San Diego Botanic Garden,San Diego Botanic Garden,28.30953358,Local,"230 Quail Gardens Drive, Encinitas, CA 92024",County DPR,DPR-PRK-100083,County of San Diego,621,Garden
2692,2693,Rainbow Park,Rainbow County Park,4.34205473,Local,"5157 5th St., Rainbow, CA 92028",County DPR,DPR-PRK-100084,County of San Diego,621,Local Park
2693,2694,Ramona Grasslands Preserve,Ramona Grasslands County Preserve,3513.96283177,Open Space,"17460 Highland Valley Road, Ramona, CA 92065",County DPR,DPR-PRK-100085,County of San Diego,621,Open Space Preserve
2694,2695,Santa Maria Creek Park,Santa Maria Creek County Park,1.17733303,Local,"1700 Montecito Road, Ramona, CA 92065",County DPR,DPR-PRK-100086,County of San Diego,621,Local Park
2695,2696,Rancho Guajome Adobe,Rancho Guajome Adobe,150.86154865,Historic,"3000 Guajome Lake Road, Oceanside, CA 92057",County DPR,DPR-PRK-100087,County of San Diego,621,Historic Site
2696,2697,Rancho Penasquitos Adobe,Rancho Penasquitos Adobe,67.06971396,Historic,"12122 Canyonside Park, San Diego 92129",County DPR,DPR-PRK-100088,County of San Diego,621,Historic Site
2697,2698,Steele Canyon Park,Steele Canyon County Park,8.31112165,Local,"2825 Steele Canyon Road, El Cajon, CA 92019",County DPR,DPR-PRK-100090,County of San Diego,621,Local Park
2698,2699,Sweetwater Lane Sports Complex,Sweetwater Lane Sports Complex,10.42629003,Local,UNK,County DPR,DPR-PRK-100092,County of San Diego,621,Sports Park
2699,2700,Del Dios Highlands Preserve,Del Dios Highlands County Preserve,781.9965356,Open Space,"9860 Del Dios Highway, Escondido, CA 92025",County DPR,DPR-PRK-100093,County of San Diego,621,Open Space Preserve
2700,2701,Tijuana River Valley Park,Tijuana River Valley Regional Park,1778.81936081,Regional,"2721 Monument Road, San Diego, CA 92154",County DPR,DPR-PRK-100094,County of San Diego,621,Regional Park
2701,2702,Santa Fe Valley Preserve,Santa Fe Valley Preserve,298.69085669,Open Space,"8600 Del Dios Highway, San Diego, CA 92127",County DPR,DPR-PRK-100095,County of San Diego,621,Open Space Preserve
2702,2703,Val Sereno Preserve,Val Sereno County Preserve,54.74246085,Open Space,"1756 Highland Drive, Del Mar, CA 92104",County DPR,DPR-PRK-100096,County of San Diego,621,Open Space Preserve
2703,2704,Vallecito Park,Vallecito County Park,57.59283254,Regional,"37349 Great Southern Overland Stage Route 1849, Ju",County DPR,DPR-PRK-100097,County of San Diego,621,Regional Park
2704,2705,Volcan Mountain Preserve,Volcan Mountain County Preserve,3012.90324122,Open Space,"1209 Farmer Road/Wynola Road, Julian, CA 92036",County DPR,DPR-PRK-100099,County of San Diego,621,Open Space Preserve
2705,2706,Whaley House Complex,Whaley House Complex,0.51013597,Historic,"2476 San Diego Ave., San Diego, CA 92110",County DPR,DPR-PRK-100100,County of San Diego,621,Historic Site
2706,2707,Wilderness Gardens Preserve,Wilderness Gardens County Preserve,749.80466453,Open Space,"14209 Highway 76, Pala, CA 92059",County DPR,DPR-PRK-100101,County of San Diego,621,Open Space Preserve
2707,2708,William Heise Park,William Heise County Park,1016.2202687,Regional,"4945 Heise Park Road, Julian, CA 92036",County DPR,DPR-PRK-100102,County of San Diego,621,Regional Park
2708,2709,Woodhaven Park,Woodhaven County Park,8.21347739,Local,"1995 Donahue Drive, El Cajon, CA 92019",County DPR,DPR-PRK-100103,County of San Diego,621,Local Park
2709,2710,Eastview Park,Eastview County Park,185.57545143,Local,"3218 Summit Meadow Road, Bonita, CA 91902",County DPR,DPR-PRK-100155,County of San Diego,621,Local Park
2710,2711,Pine Valley Park,Pine Valley County Park,55.56419606,Local,"28810 Old Highway 80, Pine Valley, CA 91962",County DPR,DPR-PRK-100107,County of San Diego,621,Local Park
2711,2712,San Dieguito Park,San Dieguito County Park,119.57411071,Regional,"1756 Highland Drive, Del Mar, CA 92014",County DPR,DPR-PRK-100110,County of San Diego,621,Regional Park
2712,2713,4S Ranch Liberty Park,4S Ranch Liberty Park,4.75473427,Local,"17750 Hunters Ridge Road, San Diego, CA 92127",County DPR,DPR-PRK-100112,County of San Diego,621,Local Park
2713,2714,Lakeside Equestrian Facility,Lakeside Equestrian Facility,13.90848748,Regional,UNK,County DPR,DPR-PRK-100113,County of San Diego,621,Regional Park
2714,2715,Otay Lakes Park,Otay Lakes County Park,10.349525,Local,"2270 Weste Road, Chula Vista, CA 91915",County DPR,DPR-PRK-100115,County of San Diego,621,Local Park
2715,2716,Barnett Ranch Preserve,Barnett Ranch County Preserve,745.05353786,Open Space,"1500 Deviney Lane/San Vicente Road, Ramona, CA 920",County DPR,DPR-PRK-100122,County of San Diego,621,Open Space Preserve
2716,2717,Escondido Creek Preserve,Escondido Creek County Preserve,647.98678864,Open Space,"742 Clarence Lane, Escondido, CA 92025",County DPR,DPR-PRK-100123,County of San Diego,621,Open Space Preserve
2717,2718,Bottle Peak Preserve,Bottle Peak County Preserve,380.57383263,Open Space,UNK,County DPR,DPR-PRK-100124,County of San Diego,621,Open Space Preserve
2718,2719,Waterfront Park,Waterfront Park,12.69381457,Regional,"1600 Pacific Highway, San Diego, CA 92101",County DPR,DPR-PRK-100130,County of San Diego,621,Regional Park
2719,2720,Spring Valley Gym / Teen Ctr,Spring Valley Gymnasium / Teen Center,1.61127481,Local,"838 Kempton St., Spring Valley, Ca 91977",County DPR,DPR-PRK-100131,County of San Diego,621,Facility
2720,2721,Hellhole Canyon Preserve,Hellhole Canyon County Preserve,2609.97297254,Open Space,"19324 Santee Lane, Valley Center, CA 92082",County DPR,DPR-PRK-100134,County of San Diego,621,Open Space Preserve
2721,2722,Keys Creek Preserve,Keys Creek County Preserve,190.55656062,Open Space,UNK,County DPR,DPR-PRK-100135,County of San Diego,621,Open Space Preserve
2722,2723,4S Ranch Sports Park,4S Ranch Sports Park,18.42516098,Local,"16118D 4S Ranch Parkway, San Diego, CA 92127",County DPR,DPR-PRK-100136,County of San Diego,621,Sports Park
2723,2724,4S Ranch Patriot Park,4S Ranch Patriot Park,5.77025285,Local,"10502 Paseo de Linda, San Diego, CA 92127",County DPR,DPR-PRK-100137,County of San Diego,621,Local Park
2724,2725,4S Ranch Heritage Park,4S Ranch Heritage Park,5.4000008,Local,"16789 Deer Ridge Road, San Diego, CA 92127",County DPR,DPR-PRK-100138,County of San Diego,621,Local Park
2725,2726,4S Ranch Homestead Park,4S Ranch Homestead Park,1.79004421,Local,"9989 Fox Valley Road, San Diego, CA 92127",County DPR,DPR-PRK-100139,County of San Diego,621,Local Park
2726,2727,4S Ranch Community Park,4S Ranch Community Park,3.24181662,Local,"16118 4S Ranch Parkway, San Diego, CA 92127",County DPR,DPR-PRK-100140,County of San Diego,621,Local Park
2727,2728,Luelf Pond Preserve,Luelf Pond County Preserve,87.0734025,Open Space,"Corner of Dye Road and Southern Oak Road, Ramona, ",County DPR,DPR-PRK-100141,County of San Diego,621,Open Space Preserve
2728,2729,Holly Oaks Preserve,Holly Oaks County Preserve,41.66188278,Open Space,"3000 Dunck Pond Lane, Ramona, CA 92065",County DPR,DPR-PRK-100142,County of San Diego,621,Open Space Preserve
2729,2730,Spring Valley Community Center,Spring Valley Community Center,0.94465875,Local,"8735 Jamacha Blvd., Spring Valley, CA 91977",County DPR,DPR-PRK-100143,County of San Diego,621,Facility
2730,2731,Lakeside Community Center,Lakeside Community Center,1.71997331,Local,"9841 Vine St., Lakeside, CA 92040",County DPR,DPR-PRK-100144,County of San Diego,621,Facility
2731,2732,Sweetwater Regional Park,Sweetwater Regional Park,349.18497371,Regional,UNK,County DPR,DPR-PRK-100106,County of San Diego,621,Regional Park
2732,2733,Provence House,Provence House,0.91914034,Regional,"4370 Sweetwater Road, Bonita, CA 91902",County DPR,DPR-PRK-100146,County of San Diego,621,Regional Park
2733,2734,Dictionary Hill Preserve,Dictionary Hill County Preserve,174.32981759,Open Space,"2036 S. Barcelona St, Spring Valley, CA 91977",County DPR,DPR-PRK-100151,County of San Diego,621,Open Space Preserve
2734,2735,Mountain Meadow Preserve,Mountain Meadow County Preserve,669.06711464,Open Space,"27211 Mountain Meadow Rd, Escondido, CA 92026",County DPR,DPR-PRK-100153,County of San Diego,621,Open Space Preserve
2735,2736,Peutz Valley Preserve,Peutz Valley County Preserve,254.63095704,Open Space,"Peutz Valley Rd, Alpine CA 91901",County DPR,DPR-PRK-100156,County of San Diego,621,Open Space Preserve
2736,2737,Four Gee Park,Four Gee County Park,2.73050223,Local,"161180 4S Ranch Parkway, San Diego, CA 92127",County DPR,DPR-PRK-100129,County of San Diego,621,Local Park
2737,2738,Alpine Park,Alpine County Park,92.5989907,Local,"2480 South Grade Road, Alpine, CA 91901",County DPR,DPR-PRK-100157,County of San Diego,621,Local Park
2738,2739,Lakeside Teen Center,Lakeside Teen Center,0.4718213,Local,"9911 Vine St., Lakeside, CA 92040",County DPR,DPR-PRK-100158,County of San Diego,621,Facility
2739,2740,SR67 Preserve,SR67 County Preserve,215.28073357,Open Space,UNK,County DPR,DPR-PRK-100159,County of San Diego,621,Open Space Preserve
2740,2741,Otay Valley Regional Park,Otay Valley Regional Park,4938.99649122,Regional,"2270 Wueste Road, Chula Vista, CA 91915",County DPR,DPR-PRK-100160,County of San Diego,621,Regional Park
2741,2742,Mt. Woodson Gateway Preserve,Mt. Woodson Gateway County Preserve,87.87208228,Open Space,"Mt Woodson Rd and SR67, Ramona CA 92065",County DPR,DPR-PRK-100161,County of San Diego,621,Open Space Preserve
2742,2743,Oakoasis Preserve,Oakoasis County Preserve,391.12342109,Open Space,"12620 Wildcat Canyon Road, Lakeside, CA 92040",County DPR,DPR-PRK-100075,County of San Diego,621,Open Space Preserve
2743,2744,Louis A. Stelzer Park,Louis A. Stelzer County Park,214.18590793,Regional,"11470 Wildcat Canyon Road, Lakeside, CA 92040",County DPR,DPR-PRK-100091,County of San Diego,621,Regional Park
2744,2745,Louis A. Stelzer Park,Louis A. Stelzer County Park,154.67319892,Regional,"11470 Wildcat Canyon Road, Lakeside, CA 92040",County DPR,DPR-PRK-100091,County of San Diego,621,Regional Park
2745,2746,Los Penasquitos Preserve,Los Penasquitos Canyon County Preserve,117.39320125,Open Space,"12122 Canyonside Park, San Diego, CA 92129",County DPR,DPR-PRK-100104,County of San Diego,621,Open Space Preserve
2746,2747,Los Penasquitos Preserve,Los Penasquitos Canyon County Preserve,81.14139529,Open Space,"12122 Canyonside Park, San Diego, CA 92129",County DPR,DPR-PRK-100104,County of San Diego,621,Open Space Preserve
2747,2748,Sycamore Canyon / Goodan Ranch,Sycamore Canyon / Goodan Ranch County Preserve,2312.09789817,Open Space,"16281 Sycamore Canyon Road, Poway, CA 92064",County DPR,DPR-PRK-100003,County of San Diego,621,Open Space Preserve
2748,2749,Sycamore Canyon / Goodan Ranch,Sycamore Canyon / Goodan Ranch County Preserve,460.59501054,Open Space,"16281 Sycamore Canyon Road, Poway, CA 92064",County DPR,DPR-PRK-100003,County of San Diego,621,Open Space Preserve
2749,2750,Historic Flume Corridor,Historic Flume Corridor,28.899833,Historic,TBD,County DPR,DPR-PRK-100162,County of San Diego,621,Historic Site
2750,2751,Cactus Park,Cactus County Park,46.04969048,Local,"10610 Ashwood St., Lakeside, CA 92040",County DPR,DPR-PRK-100133,County of San Diego,621,Sports Park
2751,2752,Cactus Park,Cactus County Park,15.64796956,Local,"10610 Ashwood St., Lakeside, CA 92040",County DPR,DPR-PRK-100133,County of San Diego,621,Sports Park
2752,2753,El Monte Park,El Monte County Park,65.50694136,Regional,"15805 El Monte Road, Lakeside, CA 92040",County DPR,DPR-PRK-100034,County of San Diego,621,Regional Park
2753,2754,El Monte Park,El Monte County Park,21.73810458,Regional,"15805 El Monte Road, Lakeside, CA 92040",County DPR,DPR-PRK-100034,County of San Diego,621,Regional Park
2754,2755,Lakeside Linkage Preserve,Lakeside Linkage County Preserve,132.09236065,Open Space,"9119 Manajo Road, Lakeside, CA 92040",County DPR,DPR-PRK-100059,County of San Diego,621,Open Space Preserve
2755,2756,Lakeside Linkage Preserve,Lakeside Linkage County Preserve,76.9838537,Open Space,"9119 Manajo Road, Lakeside, CA 92040",County DPR,DPR-PRK-100059,County of San Diego,621,Open Space Preserve
2756,2757,Old Ironsides Park,Old Ironsides County Park,1.05413474,Local,"326 Harbison Canyon Road, El Cajon, CA 92019",County DPR,DPR-PRK-100076,County of San Diego,621,Local Park
2757,2758,Ramona Grasslands Preserve,Ramona Grasslands County Preserve,121.35810379,Open Space,"17460 Highland Valley Road, Ramona, CA 92065",County DPR,DPR-PRK-100163,County of San Diego,621,Open Space Preserve
2758,2759,Calavo Park,Calavo Park,9.17272887,Local,Caltrans deed,County DPR,DPR-PRK-100164,County of San Diego,621,Local Park
2763,2764,San Luis Rey River Park,San Luis Rey River Park,712.25926826,Open Space,"5521 W. Lilac Road, Bonsall, CA 92003",County DPR,DPR-PRK-100114,County of San Diego,621,Open Space Preserve
2764,2765,Horse Creek Ridge Sports Park,Horse Creek Ridge Sports Park,8.39849537,Local,"240 Gold Palomino Way, Fallbrook CA, 92028",County DPR,DPR-PRK-100170,County of San Diego,621,Sports Park
2766,2767,Harmony Grove Community Park,Harmony Grove Village Community Park,3.57524533,Local,"2982 Harmony Grove Road, Escondido, CA 92029",County DPR,DPR-PRK-100172,County of San Diego,621,Local Park
2767,2768,Harmony Grove Equestrian Park,Harmony Grove Village Equestrian Park,3.6472446,Local,"2850 Harmony Grove Road, Escondido, CA 92029",County DPR,DPR-PRK-100173,County of San Diego,621,Local Park
2768,2769,Sweetwater Place Park,Sweetwater Place Park,2.06498978,Local,Sweetwater Springs Boulevard and Jamacha Boulevard,County DPR,DPR-PRK-100168,County of San Diego,621,Local Park
2769,2770,Star Ranch,Star Ranch,2149.84744689,Open Space,"100 Bell Canyon Rd, Trabuco Canyon, CA 92679",County DPR,DPR-PRK-100174,County of San Diego,621,Open Space Preserve
