Longitude,Latitude,name,desc,link1_href,objectid,alias,gis_acres,park_type,location,owner,source_id,source,source_dt,src_notes
-117.122353,32.534576,Friendship Park,Friendship Park (San Diego–Tijuana),https://en.wikipedia.org/wiki/Friendship_Park_(San_Diego–Tijuana),83.0,Friendship Park,3.78496417,Local,Fourth Av & F St,City of Chula Vista,202,City of Chula Vista,316.0, 
-117.2540056,33.23321944,Rancho Guajome Adobe,Rancho Guajome Adobe,https://en.wikipedia.org/wiki/Rancho_Guajome_Adobe,2696.0,Rancho Guajome Adobe,150.86154865,Historic,"3000 Guajome Lake Road, Oceanside, CA 92057",County DPR,DPR-PRK-100087,County of San Diego,621.0,Historic Site
-117.2806,33.0522,San Diego Botanic Garden,San Diego Botanic Garden,https://en.wikipedia.org/wiki/San_Diego_Botanic_Garden,2692.0,San Diego Botanic Garden,28.30953358,Local,"230 Quail Gardens Drive, Encinitas, CA 92024",County DPR,DPR-PRK-100083,County of San Diego,621.0,Garden
-117.2386111,32.67305556,Cabrillo National Monument,Cabrillo National Monument,https://en.wikipedia.org/wiki/Cabrillo_National_Monument,394.0,Cabrillo National Monument,153.27691301,National,"Cabrillo Memorial Drive, San Diego",State,SanGIS1,SanGIS,516.0,Boundary copied from Parcel layer
-117.169,32.707,Embarcadero Marina Park North,Embarcadero Marina Park North,https://en.wikipedia.org/wiki/Embarcadero_Marina_Park_North,69.0,Embarcadero Marina Park North,8.58861122,Local,"400 Kettner Blvd, San Diego. California",SDUPD,,SDUPD,416.0, 
-117.1644444,32.70416667,Embarcadero Marina Park South,Embarcadero Marina Park South,https://en.wikipedia.org/wiki/Embarcadero_Marina_Park_South,91.0,Embarcadero Marina Park South,10.62725077,Local,"20 Marina Park Wy, San Diego. California",SDUPD,,SDUPD,416.0, 
-117.055,32.83,Mission Trails Regional Park,Mission Trails Regional Park,https://en.wikipedia.org/wiki/Mission_Trails_Regional_Park,291.0,Mission Trails Regional Park,451.53747418,Local,,City of San Diego,,City of La Mesa,316.0, 
-117.172,32.711,Ruocco Park,Ruocco Park,https://en.wikipedia.org/wiki/Ruocco_Park,3.0,Ruocco Park,3.312526,Local,"585 Harbor Ln, San Diego. California",SDUPD,,SDUPD,416.0, 
